اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
أبو السوس,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,أبو السوس,31.9183,35.7834
أبو حامد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أبو حامد,32.1018,35.8845
أبو صوانة,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,أبو صوانة,31.8808,35.9831
أبو نصير,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أبو نصير,32.0540,35.8730
أدبيان,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أدبيان,31.8425,35.8557
أم أذينة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,أم أذينة,31.9450,35.8580
أم الأسود,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,أم الأسود,31.9766,35.7873
أم البرك,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم البرك,31.8167,35.8667
أم البساتين,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم البساتين,31.8850,35.8000
أم الحيران,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,أم الحيران,31.9073,35.9392
أم الرصاص,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم الرصاص,31.5008,35.9160
أم السماق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,أم السماق,31.9833,35.8500
أم السومق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,أم السومق,31.9830,35.8530
أم العمد,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم العمد,31.7833,35.9000
أم القنافذ,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم القنافذ,31.8333,35.8333
أم الكندم,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,أم الكندم,31.8500,35.8833
أم تل,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم تل,32.1167,35.8333
أم جريسات,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم جريسات,31.7117,35.7322
أم جوزة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم جوزة,32.1085,35.7514
أم حجير,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم حجير,32.0453,35.8882
أم رمانة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,أم رمانة,32.1000,35.9333
أم زويتينة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم زويتينة,32.0333,35.8833
أم قصير,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,أم قصير,31.9125,35.9180
أم نوارة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,أم نوارة,31.9337,35.8000
ابن سينا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ابن سينا,32.0821,36.1021
ابو الريغان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ابو الريغان,32.1179,36.0507
ابو القرام,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ابو القرام,32.0632,35.9044
ابو القيقب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ابو القيقب,32.0407,35.7002
ابو طاره,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ابو طاره,32.0367,35.7839
ابو عبيدة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,ابو عبيدة,31.7080,35.7933
ابو علندا,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,ابو علندا,31.9027,35.9687
